Date,Close/Last,Volume,Open,High,Low
06/09/2023,$97.96,5552325,$98.80,$98.96,$97.64
06/08/2023,$99.15,6881620,$97.65,$99.18,$96.92
06/07/2023,$97.92,6285640,$98.55,$98.86,$97.59
06/06/2023,$98.22,8657061,$99.74,$100.33,$97.53
06/05/2023,$99.93,6536496,$100.04,$100.87,$99.50
06/02/2023,$99.50,6221417,$98.31,$99.66,$98.19
06/01/2023,$97.52,6752182,$97.59,$98.23,$96.52
05/31/2023,$97.64,10377090,$98.03,$98.08,$96.98
05/30/2023,$97.75,6505373,$98.89,$98.96,$97.305
05/26/2023,$98.53,7276461,$98.63,$99.605,$98.33
05/25/2023,$98.44,8177029,$98.70,$98.90,$97.73
05/24/2023,$99.61,6134820,$100.80,$100.81,$99.11
05/23/2023,$100.34,6766298,$102.115,$102.14,$100.075
05/22/2023,$102.90,7504276,$105.52,$105.70,$102.77
05/19/2023,$105.51,4985231,$107.00,$107.1481,$105.32
05/18/2023,$107.09,5377477,$105.42,$107.14,$105.20
05/17/2023,$105.69,4757275,$105.96,$106.54,$104.945
05/16/2023,$105.28,3677256,$106.41,$106.56,$105.195
05/15/2023,$106.64,4217126,$106.11,$106.755,$105.605
05/12/2023,$106.12,5175562,$105.76,$106.215,$104.83
05/11/2023,$105.63,4791653,$106.44,$106.76,$105.12
05/10/2023,$106.97,4565013,$107.16,$108.11,$105.6802
05/09/2023,$106.71,3682380,$106.99,$107.175,$106.40
05/08/2023,$107.17,6090713,$107.47,$108.12,$106.93
05/05/2023,$107.21,7813754,$105.55,$107.48,$105.38
05/04/2023,$104.72,8858136,$104.27,$105.67,$103.80
05/03/2023,$103.96,24388560,$109.075,$109.7194,$103.80
05/02/2023,$114.46,9626359,$114.49,$114.56,$112.85
05/01/2023,$114.56,6495924,$114.252,$115.48,$114.25
04/28/2023,$114.29,5979301,$112.42,$114.31,$112.29
04/27/2023,$112.75,7618524,$111.39,$112.88,$111.18
04/26/2023,$111.47,8081639,$109.01,$112.33,$109.01
04/25/2023,$109.34,8747078,$108.91,$111.11,$108.83
04/24/2023,$109.29,5940686,$108.19,$109.29,$108.0401
04/21/2023,$108.19,4522838,$107.30,$108.78,$106.66
04/20/2023,$107.05,4297187,$106.192,$107.575,$106.19
04/19/2023,$107.16,4617787,$107.69,$107.86,$107.08
04/18/2023,$107.91,5300676,$108.87,$109.23,$107.73
04/17/2023,$108.31,4780873,$107.958,$108.645,$107.56
04/14/2023,$107.47,3963272,$106.91,$108.17,$106.85
04/13/2023,$106.99,4367557,$106.38,$107.225,$106.25
04/12/2023,$105.60,4606206,$106.24,$106.58,$105.35
04/11/2023,$105.74,4010604,$105.06,$106.40,$104.92
04/10/2023,$104.74,3761576,$103.545,$104.82,$103.07
04/06/2023,$104.68,3155669,$104.90,$105.16,$104.02
04/05/2023,$104.90,5170941,$103.98,$105.70,$103.93
04/04/2023,$104.00,3854429,$104.85,$105.01,$103.35
04/03/2023,$104.85,3855350,$104.06,$104.94,$103.665
03/31/2023,$104.13,6900065,$101.84,$104.28,$101.84
03/30/2023,$101.32,4082616,$101.44,$101.70,$100.65
03/29/2023,$100.62,4946642,$99.33,$100.69,$98.735
03/28/2023,$98.72,4709799,$98.14,$98.91,$98.08
03/27/2023,$98.66,6022228,$98.918,$99.72,$98.575
03/24/2023,$98.34,4685915,$98.22,$98.43,$97.19
03/23/2023,$98.42,6879155,$99.34,$100.13,$97.515
03/22/2023,$99.12,5917747,$100.69,$101.48,$99.06
03/21/2023,$100.54,4743712,$100.51,$101.19,$100.135
03/20/2023,$99.85,4864018,$99.10,$100.2244,$98.9306
03/17/2023,$98.70,10189660,$99.07,$99.29,$97.835
03/16/2023,$100.43,8189000,$99.14,$100.71,$99.03
03/15/2023,$99.34,6603316,$98.395,$99.37,$97.28
03/14/2023,$99.46,6248761,$100.11,$100.38,$98.47
03/13/2023,$99.08,6408391,$98.91,$100.20,$98.37
03/10/2023,$99.38,6641872,$100.62,$101.24,$99.025
03/09/2023,$100.30,5732341,$102.74,$102.75,$99.96
03/08/2023,$102.50,4225498,$102.90,$103.02,$101.73
03/07/2023,$103.34,3976538,$104.99,$105.6805,$103.12
03/06/2023,$104.99,5237053,$104.45,$105.94,$104.44
03/03/2023,$104.55,4882121,$103.40,$104.6921,$103.01
03/02/2023,$103.01,4778279,$101.28,$103.17,$100.94
03/01/2023,$101.43,5382158,$102.19,$102.33,$100.905
02/28/2023,$102.09,5186525,$101.99,$102.95,$101.90
02/27/2023,$102.44,5235072,$102.33,$103.30,$102.15
02/24/2023,$101.60,6019678,$102.65,$102.72,$100.82
02/23/2023,$103.51,6857851,$105.51,$105.51,$102.63
02/22/2023,$104.77,7523721,$105.405,$105.94,$104.39
02/21/2023,$104.78,5438014,$105.50,$105.95,$104.71
02/17/2023,$107.10,6876408,$106.735,$107.46,$106.23
02/16/2023,$107.54,4596815,$107.755,$109.10,$107.41
02/15/2023,$109.00,4060391,$107.50,$109.00,$107.2613
02/14/2023,$107.98,5109387,$107.93,$108.47,$106.695
02/13/2023,$108.52,5192356,$107.45,$108.93,$107.28
02/10/2023,$107.09,6298642,$105.52,$107.26,$105.47
02/09/2023,$106.05,5608369,$105.73,$106.61,$105.60
02/08/2023,$106.30,5557497,$106.32,$106.5392,$105.65
02/07/2023,$106.825,6207549,$104.83,$107.38,$104.56
02/06/2023,$105.02,6392177,$104.00,$106.165,$103.30
02/03/2023,$104.30,15200530,$104.58,$106.44,$103.04
02/02/2023,$109.15,9852853,$110.04,$110.83,$108.00
02/01/2023,$109.99,5841244,$108.97,$110.78,$107.98
01/31/2023,$109.14,5816303,$108.26,$109.15,$107.50
01/30/2023,$108.40,6880673,$108.26,$108.87,$107.421
01/27/2023,$109.02,6851116,$108.74,$109.76,$108.34
01/26/2023,$108.76,6324079,$107.30,$108.80,$107.06
01/25/2023,$106.98,5416908,$106.06,$107.14,$105.90
01/24/2023,$106.64,5517208,$106.40,$106.87,$105.41
01/23/2023,$106.21,6320513,$105.04,$106.89,$104.40
01/20/2023,$105.04,6543494,$104.40,$105.20,$103.885
01/19/2023,$104.26,5115840,$105.00,$105.70,$104.24
01/18/2023,$105.00,5725782,$107.14,$107.47,$104.91
01/17/2023,$106.75,7477238,$106.95,$107.595,$106.3065
01/13/2023,$107.23,5529705,$105.07,$107.30,$105.07
01/12/2023,$105.85,4881965,$106.29,$106.44,$105.17
01/11/2023,$106.30,5634376,$105.81,$106.44,$104.86
01/10/2023,$106.00,4183627,$104.36,$106.425,$104.17
01/09/2023,$104.74,10124760,$106.52,$106.68,$104.431
01/06/2023,$106.69,9644109,$105.38,$107.00,$105.01
01/05/2023,$104.43,5575086,$104.49,$105.10,$103.49
01/04/2023,$104.46,8166646,$102.69,$104.73,$102.55
01/03/2023,$100.83,6607675,$100.56,$101.17,$99.47
12/30/2022,$99.20,3988869,$99.19,$99.25,$98.24
12/29/2022,$99.77,3976076,$99.00,$100.65,$98.6697
12/28/2022,$98.60,3491489,$99.41,$99.91,$98.39
12/27/2022,$99.20,4402463,$98.57,$99.455,$98.2099
12/23/2022,$98.27,3944525,$97.59,$98.30,$96.88
12/22/2022,$97.76,4757114,$98.45,$98.56,$96.17
12/21/2022,$98.67,5566294,$96.72,$99.07,$96.35
12/20/2022,$98.00,4533502,$98.19,$98.575,$97.27
12/19/2022,$98.30,5771050,$98.43,$98.81,$97.73
12/16/2022,$98.83,13862250,$99.28,$99.54,$98.02
12/15/2022,$99.99,7246497,$101.21,$101.55,$99.445
12/14/2022,$102.19,5624019,$102.32,$103.30,$100.70
12/13/2022,$102.11,7065953,$104.82,$105.20,$100.9904
12/12/2022,$102.70,5795969,$101.13,$102.845,$100.82
12/09/2022,$101.79,7999590,$103.43,$103.50,$101.75
12/08/2022,$103.74,5465134,$102.74,$103.905,$102.40
12/07/2022,$101.87,4194311,$101.29,$102.97,$101.06
12/06/2022,$102.08,8382988,$103.82,$104.19,$101.44
12/05/2022,$103.55,9285799,$103.39,$104.24,$103.00
12/02/2022,$105.05,7916878,$102.02,$105.54,$101.82
12/01/2022,$103.37,7452313,$102.33,$103.56,$101.95
11/30/2022,$102.20,15000770,$99.05,$102.56,$98.52
11/29/2022,$98.66,4423921,$98.96,$99.33,$98.20
11/28/2022,$98.66,5257862,$98.99,$100.16,$98.56
11/25/2022,$99.56,2320020,$99.64,$99.88,$98.52
11/23/2022,$99.52,5944870,$98.49,$100.08,$98.27
11/22/2022,$98.43,5399030,$98.50,$98.73,$97.52
11/21/2022,$98.32,4499170,$96.99,$98.485,$96.70
11/18/2022,$97.95,5964815,$97.75,$98.35,$97.13
11/17/2022,$96.97,5249906,$95.21,$97.01,$95.10
11/16/2022,$97.07,5348881,$96.52,$97.96,$96.26
11/15/2022,$97.83,6409950,$98.91,$99.53,$97.29
11/14/2022,$97.42,8521098,$97.13,$98.56,$96.685
11/11/2022,$97.38,8294396,$96.76,$98.67,$96.57
11/10/2022,$96.26,10408390,$93.89,$96.42,$93.33
11/09/2022,$91.63,6271203,$91.605,$92.595,$91.34
11/08/2022,$92.75,9675544,$90.92,$93.7771,$90.92
11/07/2022,$90.45,10190200,$91.67,$92.36,$89.28
11/04/2022,$91.86,20194310,$91.98,$93.60,$90.52
11/03/2022,$84.68,8855106,$84.07,$85.47,$82.97
11/02/2022,$84.58,7661699,$87.27,$88.58,$84.53
11/01/2022,$87.10,6219632,$88.06,$88.88,$86.58
10/31/2022,$86.59,7401123,$86.60,$87.57,$85.95
10/28/2022,$87.10,8284918,$85.17,$87.79,$84.31
10/27/2022,$85.28,9524568,$86.13,$86.40,$84.081
10/26/2022,$85.89,9990898,$85.61,$88.23,$85.48
10/25/2022,$85.21,10674030,$84.10,$86.00,$84.10
10/24/2022,$83.76,16499330,$86.90,$87.51,$82.43
10/21/2022,$88.61,9088750,$87.00,$88.9694,$86.56
10/20/2022,$86.79,4540684,$87.33,$88.23,$86.47
10/19/2022,$87.52,6473381,$88.385,$89.1316,$87.01
10/18/2022,$88.96,5484433,$90.11,$90.465,$88.075
10/17/2022,$88.90,6255283,$87.90,$89.22,$87.81
10/14/2022,$86.37,6316222,$90.01,$90.70,$86.24
10/13/2022,$89.37,7616558,$85.09,$89.97,$84.71
10/12/2022,$86.87,5261904,$87.00,$88.055,$86.41
10/11/2022,$86.21,5531265,$86.71,$87.20,$85.64
10/10/2022,$87.06,5092424,$87.01,$87.57,$86.13
10/07/2022,$87.03,6606378,$88.54,$88.90,$86.30
